categoria|pesquisa|titulo|id_produto|id_avaliacoes|link|preco|quantidade_avaliacoes|comentario_about_produto|quant_star_coment|data_coleta
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Preto, 256GB, 8GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068623|N/A|||||||
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A06 Tela 6.7” 128GB 4G Processador Octa-Core, Câmera Traseira de 50MP Azul Escuro|55067264|80054742|||||||
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A56 Tela Super AMOLED 6.7” 128GB 5G 50MP Preto|55068951|N/A|||||||
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Preto, 128GB, 4GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068268|81697172|||||||
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A06 Tela 6.7” 128GB 4G Processador Octa-Core, Câmera Traseira de 50MP e Selfie de 8MP Branco|55067265|N/A|||||||
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Cinza, 128GB, 4GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068267|N/A|||||||
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7”, NFC - Preto|1571505940|82725295|||||||
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A56 5G Preto 256GB 8GB RAM, Câmera Tripla até 50MP, Tela Super AMOLED 6.7”, IP67, NFC, Vídeo HDR e Recursos AI|55068941|N/A|||||||
Eletrônicos|Fones de Ouvido Sem Fio TWS|Fone De Ouvido Sem Fio I7 Tws Mini Via Bluetooth V 5.0|1560122439|N/A|||||||
Eletrônicos|Fones de Ouvido Sem Fio TWS|Fone De Ouvido Sem Fio Tws I7 Mini Via Bluetooth 5.0|1547817554|N/A|||||||
Eletrônicos|Fones de Ouvido Sem Fio TWS|Fone De Ouvido Bluetooth sem fio Com Touch i11 Tws Compatível com IOS e Android|1561628032|N/A|||||||
Eletrodomésticos|Air Fryer|Forno de Embutir Elétrico com Função Air Fryer Brastemp - BOF84AR|1560260987|N/A|||||||
Eletrodomésticos|Air Fryer|Fritadeira Elétrica Air Fryer Britânia BAF45A Revestimento Antiaderente Gold 5L Preta|55068933|N/A|||||||
Eletrodomésticos|Air Fryer|Fritadeira Elétrica Sem Óleo Air Fryer Oven 2 em 1 Mondial AFON-12L-BI 12L Digital – Preta/Inox|55065681|N/A|||||||
Eletrodomésticos|Air Fryer|Fritadeira Elétrica Sem Óleo Air Fryer Mondial Family AFN40FB 4L Preta|55043353|N/A|||||||
Eletrodomésticos|Air Fryer|Fritadeira Elétrica Sem Óleo Air Fryer Mondial AF35-BF MK NE 1500W 3,5 Litros - Preta|55069098|N/A|||||||
Eletrodomésticos|Air Fryer|Fritadeira Air Fry Philco PFR18TI Titanium Inox 4,6L 1500W|1520060610|32110733|||||||
Eletrodomésticos|Air Fryer|Fritadeira Elétrica Sem Óleo Air Fryer Mondial AFN-60 6L Preta/Inox|55065679|75604455|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Philco PLQ2100PI Turbo Preto 1400W com 12 Velocidades - Preto/Inox|55065343|N/A|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Oster 1400W Full Preto 3,2L - OLIQ610|55012567|N/A|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Arno Power Max LN65 Comfort Control 15 Velocidades 1400W - Preto|55066472|77910023|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Philips Walita RI2244 Inox 1400W com 12 Velocidades|55019352|21958664|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Philips Walita Série 5000 RI2242 3L 1200W 12 Velocidades Preto|55019350|21958662|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Mondial Turbo Power L-99 FB Copo San Cristal 3 Velocidades 550W Preto|50004213|N/A|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Mondial Power L-550 1,9L 550W 2 Velocidades Pulsar Preto|55029682|N/A|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Mondial Turbo L-1100 3L 1100W 12 Velocidades Preto/Inox|55033544|N/A|||||||
Eletrodomésticos|Liquidificador potente|Liquidificador Industrial Alta Rotação 2 Litros 220V|1526601144|38647082|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Vertical Wap 3 em 1 High Speed Max 1350W - Azul/Cinza|55065155|N/A|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador Pó e Água Electrolux Hidrolux AWD01 1400W 5L com Acessórios Preto|13341551|9763471|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Vertical 2 em 1 Mondial Turbo Cycle AP36 1100W - Vermelho|15003651|N/A|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Vertical 2 em 1 Electrolux STK15 com Fio Urban 1450W Cinza|55029377|29766130|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Vertical 2 em 1 Britânia BAS1290V 1250W - Vermelho|55061754|69169593|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador Pó e Água Electrolux Acqua Power AQP20 1400W 10L com Acessórios Amarelo e Preto|10442841|6921883|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó e Água WAP GTW10 com Bocal de Sopro 10 litros - 1400W|55004718|13695534|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Vertical 2 em 1 Philco PAS1600P 1450 W - Preto|55061756|N/A|||||||
Eletrodomésticos|Aspirador de Pó|Aspirador de Pó Mondial Turbo Hepa AP-15|1526648622|38694559|||||||
Moda|Tênis esportivo|Tênis Feminino Esportivo Caminhada Academia Confortável Kit|1562820776|N/A|||||||
Moda|Tênis esportivo|Tênis Esportivo Masculino Amortecedor Gel Caminhada Academia|1567591489|N/A|||||||
Ferramentas|Kit de Ferramentas completo|Kit jogo ferramenta soquete aço maleta completa profissional|1566994980|N/A|||||||
Gaming|Fone de Ouvido Gamer|Headset Fone Ouvido Gamer Pc Celular Ps4 Ps5 Xbox Led Azul|1566581781|77868258|||||||
Gaming|Fone de Ouvido Gamer|Fone de Ouvido Gamer JBL Quantum 50 BLK com Microfone e Controle de Volume Deslizante, Preto - Bivolt|55067753|N/A|||||||
Gaming|Fone de Ouvido Gamer|Fone de Ouvido Headset Gamer JBL Quantum 200 Preto|1535322301|47029448|||||||
Gaming|Fone de Ouvido Gamer|Fone De Ouvido Gamer Sem Fio Bluetooth Wireles 5.0 Microfone|1537877239|49313607|||||||
Eletrônicos|Smart TV|Smart TV Philco 50” 4K LED Ultra HD PTV50VA4REGB Sistema Operacional Roku TV e Entradas USB e HDMI|55068350|81918786|||||||
Eletrônicos|Smart TV|Smart TV 43” 4K Samsung 43U8600F Crystal HDR Tizen Alexa e Xbox Gaming|55069357|83095328|||||||
Eletrônicos|Smart TV|Smart TV LED 32” Full HD TCL S5400AF com Android TV, Wi-Fi, Bluetooth, Controle Remoto com Comando de Voz, Google Assistente e Chromecast integrado|55064040|72097806|||||||
Eletrônicos|Smart TV|Smart TV 40” Philco Full HD LED PTV40M9GR2CGB com Sistema Operacional Roku TV, Dolby Audio, Processador Quad-Core, Entradas USB e HDMI|55068627|82189487|||||||
Eletrônicos|Smart TV|Smart TV LED 32” Philco HD P32SAA Google TV, HDR10 e Processador Quad-Core, HDMI, USB e Wi-Fi|55068843|82434583|||||||
Eletrônicos|Smart TV|Smart TV 43” Full HD DLED AOC 43S5045/78G com sistema operacional Roku, processador Quad Core, Dolby Audio, HDMI e USB|55066787|N/A|||||||
Eletrônicos|Smart TV|Smart TV 43” Samsung Full HD UN43F6000FGXZD, Xbox Cloud Gaming, HDR, Som em Movimento Virtual, AI Energy Mode, Wi-Fi e Bluetooth|55069530|N/A|||||||
Eletrônicos|Smart TV|Smart TV LED 50” Ultra HD 4K Philips 50PUG7019 com Google TV, Comando de Voz, Wi-Fi, Entradas HDMI e USB|55066928|N/A|||||||
Eletrônicos|Smart TV|Smart TV 50” TCL 50P7K 4K QLED UHD 60Hz com Sistema Operacional Google TV|55069450|83105584|||||||
Eletrônicos|Smart TV|Smart TV 4K 50” LG Ultra HD 50UA8550PSA com Processador a7 Gen8 AI, Otimizador de Jogos, Wi-Fi, Bluetooth, webOS 25 e Controle Smart Magic|55069668|83568472|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp 375L BRM44HK Frost Free Duplex Extrafrio Fresh Zone Inox|12731690|N/A|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Frost Free Duplex BRM44HB com Compartimento Extrafrio Fresh Zone Branca - 375L|12731692|N/A|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Duplex BRM55FK Frost Free com Painel Click Black e Turbo Freezer 463L – Inox|55066489|N/A|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Duplex BRM55FB Frost Free com Painel Click Black e Turbo Freezer 463L – Branca|55066485|N/A|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Frost Free Duplex 375 litros cor Inox com Espaço Adapt - BRM45JK|1547028003|58459127|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Duplex BRM55FE Frost Free com Painel Click Black e Turbo Freezer 463L – Black Inox|55066487|77969187|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp French Door BRO85AK Frost Free Tecnologia Inverter Turbo Freezer Design Premium 554 L Inox|55054274|57098532|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Frost Free Duplex A+++ 463 litros cor Branca com Fresh Box e Cold Room - BRM55FB|1567482127|78766597|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Duplex Frost Free 461 litros A+++ cor Inox com tecnologia Turbo Control e Fresh Box - BRM56FK|1567670291|N/A|||||||
Eletrodomésticos|Geladeira Duplex Brastemp|Geladeira Brastemp Frost Free Inverse 588 litros Branca com Smart Bar BRE85AB|1546151792|N/A|||||||
Gaming|Mouse Dell|Mouse sem fio Dell 2.4GHz - WM118|1564901382|N/A|||||||
Gaming|Mouse Dell|Teclado e Mouse sem fio Dell KM3322W|1553087778|64517612|||||||
Gaming|Mouse Dell|Mouse Wireless e Bluetooth Dell MS3320W|1503804957|N/A|||||||
Gaming|Mouse Dell|Kit Teclado e Mouse sem fio Dell Pro KM5221W Preto|1513716163|N/A|||||||
Gaming|Mouse Dell|Teclado e mouse Dell Pro - KM5221W - Português (Brasil) - Branco Gelo|1545952507|N/A|||||||
Gaming|Mouse Dell|Mouse óptico da Dell (preto) MS116|11480578|N/A|||||||
Gaming|Mouse Dell|Mouse Dell Pro Plus - MS5320W|1502211406|14191560|||||||
Gaming|Mouse Dell|Teclado e mouse Dell Pro Plus - KM7321W - Português (Brasil)|1552320689|N/A|||||||
Gaming|Mouse Dell|Teclado e Mouse Dell Premier KM900|1561661602|N/A|||||||
Gaming|Teclado sem fio KB216|Teclado Multimídia Dell KB216 - em Português|11480586|7952381|||||||
Gaming|Teclado sem fio KB216|Teclado e Mouse sem fio Dell KM3322W|1553087778|64517612|||||||
Gaming|Teclado sem fio KB216|Teclado USB Bright Basic - ABNT2 - Preto - 0014|1563245078|74600669|||||||
